WKT,ResourceID,External Cross Reference Number,External Cross Reference Source,External Cross Reference Notes,Primary Reference Number Type,Activity Name,Name Type,Site Name,Activity Type,Description,Description Type,Start Date,End Date,xcoord,ycoord,Location of Archive,Archive Reference Number,Compiler,Date of Compilation,Date of Last Update
POINT (-0.537065056939572 53.2439758354046),d24c0f59-304f-457e-8b90-b96bb41212e9,10133,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Newport""",Primary,"""Bishop Grosseteste University College""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for the construction of new offices, consisting of two areas, Area of the Former Building, and Area of the Former Garden. Area 2, Area of the Former Garden.""",Summary,2007-03-19,2007-04-05,497721,372882,Lincoln City and County Museum,2007.1,John Herridge,2007-09-13,
POINT (-0.545674845330943 53.2207620809761),94edfd88-f5e9-4af6-bf42-f5412e57bb27,10136,Lincoln Heritage Database Events,,Investigative Activity,"""Trial Trench at Mill Lane""",Primary,"""Land off 1-8 Mill Lane""",TRIAL TRENCH,"""Archaeological Evaluation in advance of a residential development. A single trench 15m x 1.6m was excavated east-west to the north of a row of garages. Evidence was found of levelling or alluvial deposits from 2nd-3rd century AD, cultivation or rubbish dumping from the 9th century onwards and a WWII shelter. There was 1.5m depth of archaeology over the natural sand.""",Summary,2007-01-16,2007-01-17,497199,370288,Lincoln City and County Museum,2007.19,John Herridge,2007-09-25,
POINT (-0.520216093291627 53.2297620038226),6bd0f053-000e-4925-b975-318fba989a66,10149,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Monks Road""",Primary,"""Monks Abbey""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for improvements to the site, comprising new paths, floodlight cable trench and viewpoint area.""",Summary,2007-05-22,2007-06-15,498878,371324,Lincoln City and County Museum,2007.104,John Herridge,2007-11-20,2009-01-06
POINT (-0.520012842884339 53.2304426946332),321e1ae9-940c-4daf-be77-867e32ee6c3b,10150,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Monks Road""",Primary,"""Monks Abbey""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for improvements to the site, comprising new paths, floodlight cable trench and viewpoint area. New paths; the ground was excavated to a depth of 0.3m and no archaeological deposits were penetrated. Only the north path was closely monitored as a result""",Summary,2007-05-22,2007-06-15,498890,371400,Lincoln City and County Museum,2007.104,John Herridge,2007-11-20,2009-01-06
POINT (-0.520221463764998 53.23004075001),1e040a38-d68d-438e-ba18-6b9d1d784bc1,10151,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Monks Road""",Primary,"""Monks Abbey""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for improvements to the site, comprising new paths, floodlight cable trench and viewpoint area. Floodlighting cable trench; the ground was excavated to a depth of 0.7m. Topsoil overlay layers of redeposited clay - possible landscaping - which overlay a demolition layer with pieces of limestone including worked stone, peg tile and mortar.""",Summary,2007-05-22,2007-06-15,498877,371355,Lincoln City and County Museum,2007.104,John Herridge,2007-11-20,2009-01-06
POINT (-0.520431425370251 53.2300343667705),7d64f022-ddc9-432e-bd05-4fc1097f83bc,10152,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Monks Road""",Primary,"""Monks Abbey""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for improvements to the site, comprising new paths, floodlight cable trench and viewpoint area. Viewpoint area; the ground was excavated to a depth of 0.7m. Topsoil overlay layers of sand and sandy silt, indicative of demolition material, probably modern.""",Summary,2007-05-22,2007-06-15,498863,371354,Lincoln City and County Museum,2007.104,John Herridge,2007-11-20,2009-01-06
POINT (-0.544397824204905 53.2226433069701),57597213-ca0d-4bc4-98f4-35139ee2e35c,10153,Lincoln Heritage Database Events,,Investigative Activity,"""Field Visit at 116 High Street""",Primary,"""116 High Street""",FIELD VISIT,"""Site survey as part of desk-based assessment.""",Summary,2007-08-31,2007-08-31,497280,370499,,,John Herridge,2007-11-20,
POINT (-0.535670318375159 53.2308338467824),4c88bd22-f792-426d-b399-9d92d5d6d9d9,10154,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Monks Road""",Primary,"""Monks Road""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during service trenching beneath the pavement on the north side of Monks Road revealed a graveyard soil and disturbed human bone, probably from the cemetery of the church of St Rumbold.""",Summary,2007-07-10,2007-07-10,497844,371422,Lincoln City and County Museum,2007.147,John Herridge,2007-11-20,
POINT (-0.54634368915603 53.2164911679553),ea43c3b0-81a3-4972-8579-388070f3f674,10155,Lincoln Heritage Database Events,,Investigative Activity,"""Evaluation at 21 High Street""",Primary,"""Golden Eagle PH""",EVALUATION,"""Archaeological evaluation of two trenches.""",Summary,2007-07-28,2007-07-29,497164,369812,Lincoln City and County Museum,2007.131,John Herridge,2007-11-20,
POINT (-0.54628228573947 53.2165353672509),077ec519-9614-4e35-8e7e-47e8ba92baa8,10156,Lincoln Heritage Database Events,,Investigative Activity,"""Trial Trench at 21 High Street""",Primary,"""Golden Eagle PH""",TRIAL TRENCH,"""Archaeological evaluation of two trenches. Trench 1, 5m x 1.6m""",Summary,2007-07-28,2007-07-29,497168,369817,Lincoln City and County Museum,2007.131,John Herridge,2007-11-20,
POINT (-0.546344905987125 53.2164552241925),258b9f34-7609-4dc2-8b61-9cf3b57eb86a,10157,Lincoln Heritage Database Events,,Investigative Activity,"""Trial Trench at 21 High Street""",Primary,"""Golden Eagle PH""",TRIAL TRENCH,"""Archaeological evaluation of two trenches. Trench 2, 5m x 1.6m""",Summary,2007-07-28,2007-07-29,497164,369808,Lincoln City and County Museum,2007.131,John Herridge,2007-11-20,
POINT (-0.549565099475105 53.2390584327567),5bb47467-da0a-460d-8dec-8ebd11f17671,10175,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 38 Long Leys Road""",Primary,"""38 Long Leys Road""",WATCHING BRIEF,"""Voluntary observation of foundation trenches for a dwelling. Top soil overlay thick clay. No archaeological features were observed.""",Summary,2008-01-10,2008-01-10,496898,372318,,,John Herridge,2008-01-11,
POINT (-0.534640266392962 53.2316032872305),079aae6b-dd6e-4a33-8afc-6e2c7de19d5f,10209,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Cathedral Street""",Primary,"""Lincoln College""",WATCHING BRIEF,"""Voluntary Observation by City Archaeologist. A human skull was discovered during the excavation of a new manhole. Its position and depth indicated a Roman date.""",Summary,2008-03-06,2008-03-06,497911,371509,,,John Herridge,2008-03-07,
POINT (-0.545660482064657 53.2207439264202),e665754d-830d-43e8-a95f-3db1eba2518f,10211,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Mill Lane""",Primary,"""Land off 1-8 Mill Lane""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for a residential development. No structures were found; over natural sand was a possible paleosol; above, a spread of burnt and organic material indicated Romano-British refuse dumping possibly to the rear of properties on Ermine Street. Silts above this were evidence of post-Roman flooding. A thick layer of soil sealed this (late Saxo-Norman to late medieval period).""",Summary,2007-11-12,2007-11-13,497200,370286,Lincoln City and County Museum,2007.19,John Herridge,2008-03-07,2009-01-14
POINT (-0.537549443221513 53.22844769265),47ce0bce-1f49-4653-ba80-b5e2e1d2d2f9,10224,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Waterside North""",Primary,"""Former Slipper Baths Site""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during surface stripping and piling excavations, in advance of the construction of a 2-unit restaurant building (Prezzo and Chinese restaurants). Apart from the walls recorded, several pieces of dressed limestone were recovered from the piling excavation holes.""",Summary,2005-11-01,2005-11-08,497724,371154,Lincoln City and County Museum,2004,John Herridge,2008-03-13,
POINT (-0.537653041413242 53.2284849222708),cfe7b813-9b62-484b-b3df-f19ef398bd60,10225,Lincoln Heritage Database Events,,Investigative Activity,"""Borehole Survey at Waterside North""",Primary,"""Former Slipper Baths Site""",BOREHOLE SURVEY,"""Augered borehole 1 of 2 to a depth of 4.15m below ground level. The base deposits were from the Romano-British to Roman period, suggesting the site was damp at this time, but not within the river itself. This continued through the medieval period, with two periods of rising water level, probably through flooding.  The Roman build-up was c1m; 0.5m-0.6m in the medieval period and 2.3m of more recent date. There was much dumping of household waste.""",Summary,2005-08-04,2005-08-04,497717,371158,Lincoln City and County Museum,,John Herridge,2008-03-13,
POINT (-0.537716920132796 53.2283688405819),1cc9297d-3d22-40c6-a15d-35be0033826f,10226,Lincoln Heritage Database Events,,Investigative Activity,"""Borehole Survey at Waterside North""",Primary,"""Former Slipper Baths Site""",BOREHOLE SURVEY,"""Augered borehole 2 of 2 to a depth of 5.2m below ground level. The deposits were from the Romano-British period through to modern, but glacial sands may have comprised the bottom part.  Overall, the site was dry/damp, with periods of flooding, but not within the river itself.  There was 1.75m of 19th-20th-century material.""",Summary,2005-08-04,2005-08-04,497713,371145,Lincoln City and County Museum,,John Herridge,2008-03-13,
POINT (-0.537595285806322 53.2284212861711),02fb7481-61cc-49d2-b755-a3683ed6f004,10227,Lincoln Heritage Database Events,,Investigative Activity,"""Borehole Survey at Waterside North""",Primary,"""Former Slipper Baths Site""",BOREHOLE SURVEY,"""Boreholes (3) taken to assess the potential for leaching of cement material from piling into archaeological deposits.""",Summary,2005-11-01,2005-11-30,497721,371151,Lincoln City and County Museum,,John Herridge,2008-03-13,
POINT (-0.545263623578754 53.2161004239603),a2be29c1-7869-4218-9f87-f0cfcadaf235,10228,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Spencer Street""",Primary,"""Land off Spencer Street""",WATCHING BRIEF,"""Following an earlier evaluation (RE10049), archaeological monitoring and recording (watching brief) was carried out during groundworks for the construction of a residential building. No archaeological features were recorded.""",Summary,2007-02-01,2007-05-31,497237,369770,Lincoln City and County Museum,SSLI07,John Herridge,2007-06-13,2009-01-14
POINT (-0.534540890397795 53.2296872712644),e91b15d0-305b-4544-add6-5665133ecbe3,10229,Lincoln Heritage Database Events,,Investigative Activity,"""Evaluation at Rosemary Lane/Friars Lane""",Primary,"""Rosemary Lane/Friars Lane""",EVALUATION,"""An archaeological trial excavation was carried out in advance of the construction of a residential development, Wesley Court. Two trenches Trenches 1 and 2.""",Summary,2003-03-19,2008-03-21,497922,371296,Lincoln City and County Museum,2003.83,John Herridge,2007-06-14,
POINT (-0.534258818562331 53.2296118858234),d4c6a6ca-8743-4629-87cd-55a3126d78f1,10230,Lincoln Heritage Database Events,,Investigative Activity,"""Trial Trench at Rosemary Lane/Friars Lane""",Primary,"""Rosemary Lane/Friars Lane""",TRIAL TRENCH,"""An archaeological trial excavation was carried out in advance of the construction of a residential development, Wesley Court. Two east-west trenches, Trenches 1 and 2. Trench 1, 5m x 3m x 2.5m deep.""",Summary,2003-03-19,2008-03-21,497941,371288,Lincoln City and County Museum,2003.83,John Herridge,2007-06-14,
POINT (-0.535036602458009 53.2296484165492),3bd11f7d-c53b-419a-a6fb-092a0a66113d,10231,Lincoln Heritage Database Events,,Investigative Activity,"""Trial Trench at Rosemary Lane/Friars Lane""",Primary,"""Rosemary Lane/Friars Lane""",TRIAL TRENCH,"""An archaeological trial excavation was carried out in advance of the construction of a residential development, Wesley Court. Two east-west trenches, Trenches 1 and 2. Trench 2, 5m x 3m x 2.4m deep.""",Summary,2003-03-19,2008-03-21,497889,371291,Lincoln City and County Museum,2003.83,John Herridge,2007-06-14,
POINT (-0.549773284766403 53.2102851418243),672cf5bd-b85a-4b44-a421-253c69253883,10232,Lincoln Heritage Database Events,,Investigative Activity,"""Evaluation at Otters Cottages""",Primary,"""Otters Cottages""",EVALUATION,"""An archaeological trial excavation was carried out in advance of the construction of a terrace of four dwellings on land to the rear of Otters Cottages One trench, 10m x 1.6m aligned east-west was excavated within the footprint of the new building.""",Summary,2007-11-05,2007-11-05,496949,369117,Lincoln City and County Museum,2007.197,John Herridge,2008-03-19,
POINT (-0.537308649929685 53.2324361388494),5cfd0fa0-9189-4dbb-a328-d1a1a764fb3b,10233,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 45 Danesgate""",Primary,"""45 Danesgate""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for the construction of an extension.""",Summary,2008-01-02,2008-01-02,497731,371598,Lincoln City and County Museum,2008.1,John Herridge,2008-03-19,2008-04-07
POINT (-0.530618490545287 53.2396714243908),9dbdd54c-b5ad-432c-adf0-0796a0a8c151,10234,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 48 Nettleham Road""",Primary,"""Land adjacent to 48 Nettleham Road""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for the construction of a dwelling on the north side of 48 Nettleham Road. Topsoil 0.3m deep overlay a sandy subsoil with limestone pieces 0.1m deep, which overlay the natural limestone brash at 0.4m below the ground level. No archaeological features or finds were recorded, suggesting agricultural use before the construction of 48 Nettleham Road.""",Summary,2007-09-03,2007-09-04,498161,372412,Lincoln City and County Museum,2007.175,John Herridge,2008-06-30,
POINT (-0.544112347755753 53.2217858038724),bb2e22a9-fe1b-4ab9-a3e4-29aac4a0174c,10235,Lincoln Heritage Database Events,,Investigative Activity,"""Architectural Survey at St Peter at Gowts church""",Primary,"""Roman sculpted panel""",ARCHITECTURAL SURVEY,"""Description, analysis and drawing of Roman sculpted panel""",Summary,1997-01-01,1997-12-31,497301,370404,,,John Herridge,2008-04-03,
POINT (-0.542121223035967 53.2336637485945),f81b9d63-2f61-43a7-b06c-dd7a02d57b29,10236,Lincoln Heritage Database Events,,Investigative Activity,"""Trial Trench at 19a Drury Lane/Spring Hill""",Primary,"""Land at the corner of Spring Hill and Drury Lane""",TRIAL TRENCH,"""Archaeological Evaluation in advance of a proposed planning application. One NNW-SSE running trench was excavated (7m x 1.3m to a depth of 1.5m-1.75m). Natural bedrock was overlain by a Roman clay surface and silt with Roman building material, overlain by modern disturbance/redeposition and topsoil.""",Summary,2007-07-19,2007-07-19,497407,371728,Lincoln City and County Museum,2007.188,John Herridge,2008-04-07,2009-11-17
POINT (-0.532504585305832 53.2296532288129),95ed15ae-d157-40e2-a722-81a83ca481ac,10237,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 53 Monks Road""",Primary,"""Knights Building, Lincoln College""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for a new extension to the south of the existing building.""",Summary,2007-09-03,2007-09-17,498058,371295,Lincoln City and County Museum,2007.157,John Herridge,2008-04-07,
POINT (-0.497898471007013 53.2262016077372),850bcfae-fd8e-445f-93df-bac46292e551,10238,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Wragby Road to Canwick""",Primary,"""Lincoln Eastern Bypass""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief)  in conjunction with boreholes and Geotechnical Trial Pitting (Phase 1).  25 test pits were monitored out of the 53 that were planned. Only one, TP85, lay within the city boundary. Here, there was a sequence of organic deposits; peat, sealed by subsoil and topsoil. This location may have been within  wider river channel of the Witham .""",Summary,1998-09-21,1998-10-30,500376,370959,Lincoln City and County Museum,194.98,John Herridge,2009-02-10,
POINT (-0.544883278320576 53.236160655239),ef0ee3a9-e6ff-40f2-b395-edcd56e86c7e,10239,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at The Lawn, Union Road""",Primary,"""The Lawn (playground)""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) after the discovery of disarticulated human bone remains. The location was close to the backfilled trench of lh84 (RE117)""",Summary,2007-09-25,2007-09-25,497217,372002,Lincoln City and County Museum,2007.192,John Herridge,2008-04-07,2009-01-06
POINT (-0.539321140502699 53.2239296463139),c9c42dfe-9415-4f1a-94fb-9f6018a1aab4,10242,Lincoln Heritage Database Events,,Investigative Activity,"""Evaluation at 22 Sincil Bank""",Primary,"""Land at 22 Sincil Bank""",EVALUATION,"""Archaeological Evaluation in advance of a residential development. Two trenches 3m x 3m, Trenches 1 and 2. No archaeological features were recorded, but the sequence of deposits suggested that the site was in a waterlogged marsh from the late Bronze Age/Early Iron Age until the 12th-13th century, with periods of fresh-water inundation depositing silt layers. Some evidence of post-medieval consolidation of the bank of Sincil Dyke was gathered.""",Summary,2007-12-03,2007-12-05,497616,370649,Lincoln City and County Museum,2007.249,John Herridge,2008-04-07,
POINT (-0.539459261680801 53.2238324527939),fa016354-3c03-4624-9902-1efefba803cc,10243,Lincoln Heritage Database Events,,Investigative Activity,"""Trial Trench at 22 Sincil Bank""",Primary,"""Land at 22 Sincil Bank""",TRIAL TRENCH,"""Archaeological Evaluation in advance of a residential development. Two trenches 3m x 3m. Trench 1. No archaeological features were recorded, but the sequence of deposits suggested that the site was in a waterlogged marsh from the late bronze Age/Early Iron Age until the 12th-13th century, with periods of fresh-water inundation depositing silt layers. Some evidence of post-medieval consolidation of the bank of Sincil Dyke was gathered.""",Summary,2007-12-03,2007-12-05,497607,370638,Lincoln City and County Museum,2007.249,John Herridge,2008-04-07,
POINT (-0.539143909388275 53.2238555570021),e4423dca-8c69-44a1-8d27-dfa6636b8c33,10244,Lincoln Heritage Database Events,,Investigative Activity,"""Trial Trench at 22 Sincil Bank""",Primary,"""Land at 22 Sincil Bank""",TRIAL TRENCH,"""Archaeological Evaluation in advance of a residential development. Two trenches 3m x 3m. Trench 2. No archaeological features were recorded, but the sequence of deposits suggested that the site was in a waterlogged marsh from the late bronze Age/Early Iron Age until the 12th-13th century, with periods of fresh-water inundation depositing silt layers. Some evidence of post-medieval consolidation of the bank of Sincil Dyke was gathered.""",Summary,2007-12-03,2007-12-05,497628,370641,Lincoln City and County Museum,2007.249,John Herridge,2008-04-07,
POINT (-0.547519594940393 53.2127208611056),1d21ee76-d34e-4810-b689-7b8e59b29944,10245,Lincoln Heritage Database Events,,Investigative Activity,"""Evaluation at 37 St Catherines""",Primary,"""Upper Witham Drainage Board Building""",EVALUATION,"""Archaeological Evaluation in advance of alterations and extensions to the building to create a residential development. Three trenches, Trenches 1-3""",Summary,2007-12-17,2007-12-21,497094,369391,Lincoln City and County Museum,2007.25,John Herridge,2008-04-08,
POINT (-0.547711460562013 53.2128041062501),d6933a61-3364-4fd7-b5d4-39de4bd41e8a,10246,Lincoln Heritage Database Events,,Investigative Activity,"""Trial Trench at 37 St Catherines""",Primary,"""Upper Witham Drainage Board Building""",TRIAL TRENCH,"""Archaeological Evaluation in advance of alterations and extensions to the building to create a residential development. Three trenches, Trenches 1-3.. Trench 1 8.5m x 1.6m. Topsoil 0.5m deep overlay a stone wall, c0.7m of demolition material and a former ground surface. This overlay a sand layer possibly prehistoric.""",Summary,2007-12-17,2007-12-21,497081,369400,Lincoln City and County Museum,2007.25,John Herridge,2008-04-08,
POINT (-0.547448395804764 53.2126121174648),0a03ede2-d79c-4975-96fc-7f529f3233ab,10247,Lincoln Heritage Database Events,,Investigative Activity,"""Trial Trench at 37 St Catherines""",Primary,"""Upper Witham Drainage Board Building""",TRIAL TRENCH,"""Archaeological Evaluation in advance of alterations and extensions to the building to create a residential development. Three trenches, Trenches 1-3. Trench 2, 5.4m x 1.6m. Topsoil 0.38m deep overlay demolition material, a former ground surface and inhumations. This overlay a sand layer with flints and a shallow depression.""",Summary,2007-12-17,2007-12-21,497099,369379,Lincoln City and County Museum,2007.25,John Herridge,2008-04-08,
POINT (-0.547299007445279 53.2126013069204),a3298780-3914-48da-96c8-b0feb6085958,10248,Lincoln Heritage Database Events,,Investigative Activity,"""Trial Trench at 37 St Catherines""",Primary,"""Upper Witham Drainage Board Building""",TRIAL TRENCH,"""Archaeological Evaluation in advance of alterations and extensions to the building to create a residential development. Three trenches, Trenches 1-3. Trench 3. Topsoil overlay demolition material, a former ground surface, pits and inhumations. This overlay a sand layer possibly prehistoric.""",Summary,2007-12-17,2007-12-21,497109,369378,Lincoln City and County Museum,2007.25,John Herridge,2008-04-08,
POINT (-0.547310025153004 53.2127183067429),98c85d6f-bc44-426d-be2c-40aacc885f34,10249,Lincoln Heritage Database Events,,Investigative Activity,"""Photographic Survey at 37 St Catherines""",Primary,"""Upper Witham Drainage Board Building""",PHOTOGRAPHIC SURVEY,"""Photographic survey to RCHME level 1 of the former Upper Witham Drainage Board Building before conversion to residential unit. 68 photographs were taken. Only a small selection is reproduced in the report.""",Summary,2007-12-17,2007-12-21,497108,369391,Lincoln City and County Museum,2007.25,John Herridge,2008-04-08,
POINT (-0.537230029278492 53.2334240342635),0e29885f-648d-4b2e-8872-0809bc4dfa32,10250,Lincoln Heritage Database Events,,Investigative Activity,"""Evaluation at Bishops Palace/St Michael on the Mount cemetery""",Primary,"""Edward King House""",EVALUATION,"""Archaeological Evaluation in advance of a new pumping station and pipework, and lift shaft. Trenches 1-4 and internal survey""",Summary,2006-11-01,2006-11-30,497734,371708,Lincoln City and County Museum,2006.26,John Herridge,2008-04-08,
POINT (-0.537133158726436 53.2331891149011),be6e4da2-740a-43aa-be38-2a886f156850,10251,Lincoln Heritage Database Events,,Investigative Activity,"""Test Pit at Bishops Palace""",Primary,"""Edward King House""",TEST PIT,"""Archaeological Evaluation in advance of a new pumping station and pipework, and lift shaft. Trenches 1-4 and internal survey. Trench 1, 1m x 1m x 1m deep. Topsoil and turf overlay deposits of demolition material, probably from the earlier house, and forming part of landscaping activity relating to the construction of Edward King House""",Summary,2006-11-01,2006-11-30,497741,371682,Lincoln City and County Museum,2006.26,John Herridge,2008-04-09,
POINT (-0.537193064092648 53.2331898500634),16baf970-39b9-474f-8638-01888dd2c2d6,10252,Lincoln Heritage Database Events,,Investigative Activity,"""Test Pit at Bishops Palace""",Primary,"""Edward King House""",TEST PIT,"""Archaeological Evaluation in advance of a new pumping station and pipework, and lift shaft. Trenches 1-4 and internal survey. Trench 2, 2m x 2m x 1m deep. Topsoil and turf overlay a modern inspection chamber and ceramic pipe, and deposits of demolition material, probably from the earlier house, and forming part of landscaping activity relating to the construction of Edward King House""",Summary,2006-11-01,2006-11-30,497737,371682,Lincoln City and County Museum,2006.26,John Herridge,2008-04-09,
POINT (-0.537325400926001 53.2332633911025),8a1c45eb-75f0-4ab6-97e1-f7a2e109d39e,10253,Lincoln Heritage Database Events,,Investigative Activity,"""Test Pit at Bishops Palace/St Michael on the Mount cemetery""",Primary,"""Edward King House""",TEST PIT,"""Archaeological Evaluation in advance of a new pumping station and pipework, and lift shaft. Trenches 1-4 and internal survey.  Trench 3, 2m x 1m, within the cemetery of the church of St Michael on the Mount. Topsoil and turf overlay three grave cuts.""",Summary,2006-11-01,2006-11-30,497728,371690,Lincoln City and County Museum,2006.26,John Herridge,2008-04-09,
POINT (-0.537348309279419 53.2334704338601),5358b65f-9625-4b23-91c5-4310cf7f80db,10254,Lincoln Heritage Database Events,,Investigative Activity,"""Test Pit at Bishops Palace/St Michael on the Mount cemetery""",Primary,"""Edward King House""",TEST PIT,"""Archaeological Evaluation in advance of a new pumping station and pipework, and lift shaft. Trenches 1-4 and internal survey. Trench 4, 2m x 1m, within the cemetery of the church of St Michael on the Mount. Topsoil and turf overlay two grave cuts.""",Summary,2006-11-01,2006-11-30,497726,371713,Lincoln City and County Museum,2006.26,John Herridge,2008-04-09,
POINT (-0.537292997878594 53.2333349105903),4375ab93-2305-4154-88d3-d448f2383a08,10255,Lincoln Heritage Database Events,,Investigative Activity,"""Building Survey at Bishops Palace""",Primary,"""Edward King House""",BUILDING SURVEY,"""Archaeological Evaluation in advance of a new pumping station and pipework, and lift shaft. Trenches 1-4 and internal survey. Internal survey. A stone wall was recorded, probably from the earlier house on the site.""",Summary,2006-11-01,2006-11-30,497730,371698,Lincoln City and County Museum,2006.26,John Herridge,2008-04-09,
POINT (-0.53712825756363 53.233332888956),6e22f20b-d6d6-482a-995e-01d4b4c6ef83,10257,Lincoln Heritage Database Events,,Investigative Activity,"""Building Survey at Bishops Palace""",Primary,"""Edward King House""",BUILDING SURVEY,"""Conservation statement including building survey data, photographs phase plans etc""",Summary,2006-01-01,2006-12-31,497741,371698,,,John Herridge,2008-04-09,
POINT (-0.536450948993317 53.2334234608946),b2e719ca-6835-427c-a6fc-b888cfe6753b,10258,Lincoln Heritage Database Events,,Investigative Activity,"""Building Survey at Bishops Palace""",Primary,"""Medieval Bishops Palace""",BUILDING SURVEY,"""Conservation plan including building survey data, photographs, phase plans etc""",Summary,2000-01-01,2001-09-30,497786,371709,,,John Herridge,2008-04-09,
POINT (-0.533731553462419 53.230135790068),392aea8d-6415-4073-b72e-489ff6717087,10261,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 21 Spa Buildings""",Primary,"""21 Spa Buildings""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for a new rear extension.""",Summary,2008-01-10,2008-01-18,497975,371347,Lincoln City and County Museum,2008.1,John Herridge,2008-04-11,
POINT (-0.531043453845261 53.2338244063677),f5fca56d-b61a-439c-b1da-f6a61e991b0b,10262,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Upper Lindum Street""",Primary,"""Lincoln Minster School""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavation of four trial pits, Trial Pits 1-4.""",Summary,2007-10-23,2007-10-23,498146,371761,Lincoln City and County Museum,2007.217,John Herridge,2008-04-11,2008-01-19
POINT (-0.530992371986731 53.2340035697325),81c40783-a43f-489c-9b97-0bd2af758ef2,10263,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Upper Lindum Street""",Primary,"""Lincoln Minster School""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavation of four trial pits, Trial Pits 1-4. Trial Pit 1 c6m x 1.5m. A modern brick surface sealed silt topsoil, over a crushed stone surface, which overlay a garden soil, silt and c4m of silt with limestone fragments, probably quarry backfill. ((Site drawing shows TP to be c 3.5m x 1m)""",Summary,2007-10-23,2007-10-23,498149,371781,Lincoln City and County Museum,2007.217,John Herridge,2008-04-11,2008-01-19
POINT (-0.530835320786316 53.2337768930689),a1a91e7e-a1cb-4503-b4c8-fd117ae65068,10264,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Upper Lindum Street""",Primary,"""Lincoln Minster School""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavation of four trial pits, Trial Pits 1-4. Trial Pit 2 c6m x 1.5m. A modern tarmac surface sealed hardcore, over a silt clay make up deposit, which overlay c1.5m of silt with limestone fragments, probably quarry backfill. (Site drawing shows TP to be c 3.5m x 1m)""",Summary,2007-10-23,2007-10-23,498160,371756,Lincoln City and County Museum,2007.217,John Herridge,2008-04-11,2008-01-19
POINT (-0.531255278085724 53.233764089058),4cda772a-c498-4079-9184-e02cdcbe5e7b,10265,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Upper Lindum Street""",Primary,"""Lincoln Minster School""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavation of four trial pits, Trial Pits 1-4. Trial Pit 3 c6m x 1.5m. A layer of topsoil 0.3m thick overlay c2m (to bedrock) of fragmented limestone. (Site drawing shows TP to be c 3.5m x 1m)""",Summary,2007-10-23,2007-10-23,498132,371754,Lincoln City and County Museum,2007.217,John Herridge,2008-04-11,2008-01-19
POINT (-0.531013500801254 53.2338240372421),fb9d3d56-22ac-43ae-b052-504c3e46f2f7,10266,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Upper Lindum Street""",Primary,"""Lincoln Minster School""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavation of four trial pits, Trial Pits 1-4. Trial Pit 4 c6m x 1.5m. Limestone bedrock was reached at a depth of c5m. A cut was interpreted as the side and base of a quarry. (Site drawing shows TP to be c 3.5m x 1m)""",Summary,2007-10-23,2007-10-23,498148,371761,Lincoln City and County Museum,2007.217,John Herridge,2008-04-11,2008-01-19
